Sr. No,Institute Code,Institute Name,DISTRICT,Status,Fees,Hostel,Avg Placement,Highest Placement,Minority,Branch,GOPEN,GOPEN R,GOBC,GOBC R,GSC,GSC R,GST( S & H),GST R,GVJ(S & H),GVJ R,GNT1(S & H),GNT1 R,GNT2( S& H),GNT2 R,GNT3( S& H),GNT3 R,GSEBC (S & H),GSEBC R,LOPEN( S & H),LOPEN R,LOBC(S & H),LOBC R,LSC( S&  H),LSC R,LST(S & H),LST R,LVJ(S & H),LVJ R,LNT1(S & H),LNT1 R,LNT2(S & H),LNT2 R,LNT3(S & H),LNT3 R,LSEBC(S & H),LSEBC R,MI,MI R,TFWS,TFWS R,EWS,EWS R,ORPHAN,ORPHAN R,DEFOPENS,DEFOPENS R,DEFOBCS,DEFOBCS R,DEFROBCS,DEFROBCS R,DEFSCS,DEFSCS R,DEFRSCS,DEFRSCS R,DEFSTS,DEFSTS R,DEFSEBCS,DEFSEBCS R,DEFRSEBCS,DEFRSEBCS R,DEFRNT1S,DEFRNT1S R,DEFRNT2S,DEFRNT2S R,DEFRNT3S,DEFRNT3S R,DEFRVJS,DEFRVJS R,PWDOPENS,PWDOPENS R,PWDOPENH,PWDOPENH R,PWDOBCS,PWDOBCS R,PWDOBCH,PWDOBCH R,PWDROBCS,PWDROBCS R,PWDROBCH,PWDROBCH R,PWDSCS,PWDSCS R,PWDSCH,PWDSCH R,PWDRSCS,PWDRSCS R,PWDRSCH,PWDRSCH R,PWDRSTS,PWDRSTS R,PWDRSTH,PWDRSTH R,PWDSEBCS,PWDSEBCS R,PWDRSEBCS,PWDRSEBCS R,PWDRSEBCH,PWDRSEBCH R,PWDRNT1S,PWDRNT1S R,PWDRNT2S,PWDRNT2S R,PWDRNT3S,PWDRNT3S R,PWDRVJS,PWDRVJS R,AI,AI R
1,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Civil Engineering,88.5013511,34240,85.3822102,42649,77.8445199,62739,65.8812284,91124,81.2928705,54224,88.4426131,34281,85.7455441,41658,87.8945473,35923,75.3516004,69130,88.1228442,35071,83.6467428,47396,83.639399,47557,66.8505265,89332,81.3738935,54046,,,70.8722936,80230,,,55.2318816,112136,,,85.5352459,41891,66.1855163,90204,,,67.0458361,88930,47.9842799,124882,,,,,,,,,,,50.6340761,120638,,,,,,,,,53.7694785,115494,,,27.6622718,153595,,,25.6482713,155782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Computer Science And Engineering,97.3911937,7872,97.0436452,8931,94.1713006,17571,80.5896708,56026,94.3331807,17052,94.4433332,16746,94.5541467,16443,,,94.6903844,15942,96.9066937,9308,96.7545639,9823,94.8376426,15485,84.2430574,45930,,,93.2139295,20457,,,92.0214155,23863,94.8397684,15409,,,98.1177725,5518,95.3932298,13851,86.1764583,40407,90.777366,27598,87.8152279,36001,89.3071786,31634,,,,,,,,,,,,,,,,,,,88.6037289,33711,,,82.7778711,49777,,,,,,,,,,,83.752973,46875,,,,,,,,,,,,,,,,,,,,,,
3,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Information Technology,96.0264086,12001,95.8067495,12727,92.4262209,22810,80.0615027,57428,92.6351162,22090,92.5251996,22548,93.9913601,18106,94.115178,17692,93.871008,18460,96.1687682,11632,95.8198477,12683,92.4273158,22774,78.1496564,62455,,,,,93.1131822,20674,,,93.4764585,19600,,,96.7229568,9964,93.9032684,18299,61.6354671,100069,88.553941,33941,82.1878954,51336,,,,,,,,,,,,,87.1012785,37872,,,,,,,69.2652564,84120,,,57.0470967,109674,,,,,,,,,,,67.6869909,87457,,,,,,,,,,,,,,,,,,,,,,
4,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Electrical Engineering,90.3847828,28736,89.874785,30164,85.3822102,42636,57.0470967,109844,86.2190813,40155,,,85.1704164,43440,76.933232,64967,83.5369475,47938,91.295495,25978,89.8755527,30050,82.7086811,50448,57.414259,107619,85.2662319,43053,88.5172385,34017,,,,,78.4507504,61280,,,90.8058519,27443,82.7820291,49718,70.5215521,80761,83.032746,48986,18.5574725,164128,69.800376,82621,,,,,,,,,,,,,,,,,,,47.0113809,126496,,,27.5123271,153875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Electronics And Telecommunication Engg,94.1713006,17552,93.8694333,18536,88.9034341,32759,72.5041736,76500,88.7742666,33193,91.6557848,24939,92.6335559,22199,89.2671256,31829,92.0214155,23887,95.0167998,15100,94.3331807,17050,90.0992619,29378,49.7949643,122393,82.4751693,50918,,,89.0036224,32583,,,91.6345444,25005,,,95.1705464,14636,92.1089443,23715,,,92.8871646,21433,77.7634641,63680,80.5358903,56268,,,,,,,,,,,,,,,,,,,40.1585977,136974,,,17.776617,164763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Instrumentation Engineering,86.1227045,40780,82.8860671,49279,72.5041736,76436,27.6622718,153584,81.7098306,52977,80.9741447,55013,83.1983982,48697,,,62.795808,98636,83.639399,47564,83.5013309,48233,73.7956676,73240,17.776617,164756,,,,,,,25.6482713,155962,82.1493863,51737,,,86.8242361,38760,80.7858869,55129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1002,"Government College Of Engineering, Amravati",Amravati,"Govt, Auto",L,,5.65 LPA,9 LPA,,Mechanical Engineering,87.0844527,37888,86.2308451,40001,78.956117,60509,57.2163252,108763,80.5896708,56098,79.1318865,59809,83.7440631,47170,81.4941569,53426,75.3410409,69475,85.7455441,41682,82.1493863,51638,78.5613347,61041,40.99476,135907,,,79.6526596,58310,80.2743712,56879,,,80.7858869,55218,,,86.5743889,39326,72.8176141,75778,,,53.7694785,115556,27.6622718,153674,44.8929536,129935,,,,,,,,,,,,,,,,,,,56.0103934,111014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,,,,,,Food Technology,90.6223114,29972,87.9283936,38311,89.8224795,32446,49.9497584,128351,,,,,75.2680452,74203,,,66.8404462,95096,92.9308861,22742,89.8224795,32441,,,,,,,,,,,,,81.7098306,56660,,,,,79.5020906,62942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,,,,,,Oil And Paints Technology,53.7694785,115421,24.5948927,156930,40.1066152,137364,,,33.099972,146620,,,,,,,,,47.9842799,125003,,,,,,,,,,,12.6135136,169752,,,,,,,30.9687071,149457,57.1959853,109124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,,,,,,Paper And Pulp Technology,63.5370419,95351,,,,,,,,,,,,,,,,,17.7533973,164945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
